hearing_id,statement_index,dom_id,speaker,speaker_type,statement,matched_groups,matched_terms,n_keyword_groups,matching_sentence_indices,n_matching_sentences,matching_sentences
279175,172,5216839,Mike Gipson,Legislator,"Thank you very much. This bill will be referred to our suspense file. Thank you, witnesses, for appearing. Thank you. K. We have an author. We have mister Ward file item number two, a B2222. Thank you very much, mister Ward. And you have witnesses, mister Ward?",bill_reference,a B2222,1,7,1,"We have mister Ward file item number two, a B2222."
279175,175,5216843,Chris Ward,Legislator,"When local news disappears, we see declines in civic engagement, voter participation, and government accountability. And this bill addresses that by directly creating a refundable tax credit for local news organizations, which hire and retain journalists. The structure is straightforward. Up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created. Importantly, this credit is refundable.",local_news; civic_effects; journalists_reporters; news_organizations; employment_workforce; tax_credit,local news; civic engagement; voter participation; government accountability; accountability; journalists; news organizations; hire; retain; tax credit; refundable tax credit; journalist; journalism,6,1; 2; 4,3,"When local news disappears, we see declines in civic engagement, voter participation, and government accountability. And this bill addresses that by directly creating a refundable tax credit for local news organizations, which hire and retain journalists. Up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created."
279175,176,5216844,Chris Ward,Legislator,"So it works for small independent and non profit outlets, not just large corporations. The bill is also carefully constructed with guardrails, transparency and ownership, limits on political influence, requirements for editorial standards and accountability. And this ensures that we are supporting local journalism without influencing content. With me to speak in support of the Community News Act are Matt Pierce, the legislative director of Rebuild Local News, and Bob Butler, the vice president of broadcast at SYK AFTRA.",local_news; journalists_reporters; bill_reference,local journalism; journalism; Community News Act; Local News; Community News,3,3; 4,2,"And this ensures that we are supporting local journalism without influencing content. With me to speak in support of the Community News Act are Matt Pierce, the legislative director of Rebuild Local News, and Bob Butler, the vice president of broadcast at SYK AFTRA."
279175,177,5216845,Chris Ward,Legislator,"AV twenty two twenty two is ultimately a jobs bill and a democracy bill, helping to keep reporters in communities and ensuring that Californians have access to trusted local information. When the time is appropriate, I respectfully request your aye vote.",journalists_reporters; civic_effects; information_effects; employment_workforce,reporters; democracy; local information; jobs,4,1,1,"AV twenty two twenty two is ultimately a jobs bill and a democracy bill, helping to keep reporters in communities and ensuring that Californians have access to trusted local information."
279175,189,5216857,Mike Gipson,Legislator,"I love it. Thank you very much. Anyone in the room wishing to speak in support of AB 2222, please come to the microphone, your name, your organization, and this is support.",bill_reference,AB 2222,1,3,1,"Anyone in the room wishing to speak in support of AB 2222, please come to the microphone, your name, your organization, and this is support."
279175,193,5216861,Sharon Quirk-Silva,Legislator,"Not only do I support this, but all of the efforts that I know that you are moving forward related to journalism. We are in a new frontier as we think about journalism, but journalism is one of the last communication efforts that's based on facts. And with streaming, with blogs and posts and social media, it's becoming harder and harder for the public to understand what's real and what's not real. And at every turn, we see the shrinking of our, as we said, news newspapers.",journalists_reporters; news_organizations,journalism; newspapers,2,1; 2; 4,3,"Not only do I support this, but all of the efforts that I know that you are moving forward related to journalism. We are in a new frontier as we think about journalism, but journalism is one of the last communication efforts that's based on facts. And at every turn, we see the shrinking of our, as we said, news newspapers."
279175,194,5216862,Sharon Quirk-Silva,Legislator,"One of the things as a former teacher, we can look to literacy and understand that many of us grew up with newspapers coming to our homes, not just newspapers, but maybe magazines, this type of information. And as was stated in your remarks, slowly but surely, we have seen all of these communication pieces pretty much wiped out. And so we wonder why young kids and families who might have gone to the doctors and picked up a magazine and read it with their parents or a newspaper that those conversations aren't happening.",news_organizations,newspapers; newspaper,1,1; 3,2,"One of the things as a former teacher, we can look to literacy and understand that many of us grew up with newspapers coming to our homes, not just newspapers, but maybe magazines, this type of information. And so we wonder why young kids and families who might have gone to the doctors and picked up a magazine and read it with their parents or a newspaper that those conversations aren't happening."
279175,200,5216868,Mike Gipson,Legislator,"Great. With that, I just have one quick question for you, mister Ward. Why is the, the credit a fixed amount instead of a percentage amount for the wages for new hire journalists?",journalists_reporters; employment_workforce,journalists; hire; new hire; wages,2,3,1,"Why is the, the credit a fixed amount instead of a percentage amount for the wages for new hire journalists?"
279175,202,5216870,Chris Ward,Legislator,"Yes. This is similar to the law that was first enacted in Illinois. We have in our ecosystem, the majority of local news outlets are very small local news outlets, and part of their spending is on freelance, which is not covered by this bill. So part of the part of the amounts are to reflect the reality for those organizations that when they hire an actual staffer, it it may not reflect the full extent of their spending.",local_news; news_organizations,local news; news outlets,2,3,1,"We have in our ecosystem, the majority of local news outlets are very small local news outlets, and part of their spending is on freelance, which is not covered by this bill."
279175,204,5216872,Chris Ward,Legislator,"Thank you, Mr. Chair, members. Thank you for the support of comments. I'm very happy to have another co author coming out of this committee, should this bill come out of this committee. You know, I think that we all very deeply appreciate the value of local news that we have, whether it's our kids growing up on the educational programming, family friendly content that we're able to produce, historical art of, exposes, are very specific to your local community.",local_news,local news,1,4,1,"You know, I think that we all very deeply appreciate the value of local news that we have, whether it's our kids growing up on the educational programming, family friendly content that we're able to produce, historical art of, exposes, are very specific to your local community."
279611,772,6933616,Chris Ward,Legislator,"Thank you, Madam Speaker. Members, AB 2222 is the Community News Act, and it creates a targeted journalist employment tax credit to help local news organizations hire and retain reporters covering California communities. We all know that local journalism is in crisis. Thousands of newspapers have closed nationwide, newsroom staffing has collapsed, and too many communities are losing access to reliable local reporting.",bill_reference; local_news; journalists_reporters; news_organizations; employment_workforce; tax_credit; news_decline,AB 2222; Community News Act; local news; Community News; journalist; reporters; news organizations; employment; hire; retain; tax credit; local journalism; journalism; local reporting; newsroom; newspapers; newspapers have closed,7,2; 3; 4,3,"Members, AB 2222 is the Community News Act, and it creates a targeted journalist employment tax credit to help local news organizations hire and retain reporters covering California communities. We all know that local journalism is in crisis. Thousands of newspapers have closed nationwide, newsroom staffing has collapsed, and too many communities are losing access to reliable local reporting."
279611,773,6933617,Chris Ward,Legislator,"This bill invests directly in local journalism jobs, supporting reporters who are covering schools, local government, public safety, and community issues that Californians rely on every day. This is a content neutral, bipartisan approach focused on preserving local civic infrastructure and strengthening access to trustworthy community news. I respectfully ask for your aye vote.",local_news; journalists_reporters; employment_workforce,local journalism; reporters; journalism; jobs; community news,3,1; 2,2,"This bill invests directly in local journalism jobs, supporting reporters who are covering schools, local government, public safety, and community issues that Californians rely on every day. This is a content neutral, bipartisan approach focused on preserving local civic infrastructure and strengthening access to trustworthy community news."
279611,828,6934351,Mia Bonta,Legislator,"And one of the things that was resoundingly clear was that people really wanted to be able to grow their own, be able to identify the places, particularly our community colleges, and make sure that they get leveraged and used to be able to make sure that we have the health care workers that we need to support our health care system. With that, I respectfully press your aye vote on this very important bill.",news_organizations,press,1,2,1,"With that, I respectfully press your aye vote on this very important bill."
279661,291,10331729,Chris Ward,Legislator,"It's the most important thing of the morning. I'd like to begin with AB 2222, if that's okay?",bill_reference,AB 2222,1,2,1,"I'd like to begin with AB 2222, if that's okay?"
279661,293,10331732,Chris Ward,Legislator,"So today, local journalism is under attack from every direction. Newsrooms across California are shrinking, reporters are being laid off, community newspapers are closing, and trusted local voices are disappearing. At the same time, we are witnessing increasing political attacks on a free and independent press with efforts to undermine journalists, discredit credible reporting, and weaken the institutions that hold power accountable. When a newsroom closes, communities lose more than just headlines. They lose watchdogs, transparency, and access to reliable local information.",local_news; journalists_reporters; news_organizations,local journalism; journalism; reporters; Newsrooms; newspapers; journalists; press; newsroom,3,1; 2; 3; 4,4,"So today, local journalism is under attack from every direction. Newsrooms across California are shrinking, reporters are being laid off, community newspapers are closing, and trusted local voices are disappearing. At the same time, we are witnessing increasing political attacks on a free and independent press with efforts to undermine journalists, discredit credible reporting, and weaken the institutions that hold power accountable. When a newsroom closes, communities lose more than just headlines."
279661,294,10331733,Chris Ward,Legislator,"Local journal - excuse me, local journalists are often the only people attending city council meetings, school board meetings, and covering the issue, issues that directly affect Californians. So, AB 2222 is about investing in that public good. The bill establishes a targeted temporary tax credit to help local news organizations retain existing journalists, hire new reporters, and expand local coverage across California.",local_news; journalists_reporters; bill_reference; news_organizations; employment_workforce; tax_credit,local journalists; journalists; AB 2222; local news; reporters; news organizations; hire; retain; tax credit,6,1; 2; 3,3,"Local journal - excuse me, local journalists are often the only people attending city council meetings, school board meetings, and covering the issue, issues that directly affect Californians. So, AB 2222 is about investing in that public good. The bill establishes a targeted temporary tax credit to help local news organizations retain existing journalists, hire new reporters, and expand local coverage across California."
