hearing_id,statement_index,dom_id,speaker,speaker_type,statement
279175,0,5216671,Mike Gipson,Legislator,"I wanna say good afternoon, and welcome to the hearing of the Assembly Committee on Revenue and Taxation. Again, I would like to remind advocates that the deadline, for position letters is one week prior to the hearing. Please submit support and opposition letters through the legislative position letter portal. I also want to remind everyone that our committee has a suspense file. If you didn't already know, now you know."
279175,1,5216672,Mike Gipson,Legislator,"And, details about the the process are spelled out on the committee's, rules posted on our website. So please familiarize yourself with that. In summary, bills with a revenue impact of more than 150,000 would not be eligible for a vote immediately after their presentations. Instead, it will be referred to our suspense file. Accordingly, only two bills on today's agenda will be eligible for a vote, and those bills are as followed."
279175,2,5216673,Mike Gipson,Legislator,"File item number three, AB 2270 by Arambula. File item number 10 AB 2641 by Rodriguez. All items after that are suspense candidates. Madam secretary, would you please call the road to establish a quorum?"
279175,3,5216674,Committee Secretary,Person,Gipson?
279175,4,5216675,Mike Gipson,Legislator,Here.
279175,5,5216676,Committee Secretary,Person,"Gibson, here. Sanchez?"
279175,6,5216677,Kate Sanchez,Legislator,Here.
279175,7,5217226,Sharon Quirk-Silva,Legislator,Here.
279175,8,5217227,Committee Secretary,Person,Quirk-Silva here. Michelle Rodriguez.
279175,9,5216678,Committee Secretary,Person,"Sanchez, here. Carrillo, DeMayo, Mckinner, Quirk-Silva?"
279175,10,5216679,Michelle Rodriguez,Legislator,Here.
279175,11,5217229,Committee Secretary,Person,Michelle Rodriguez here. We have quorum.
279175,12,5216680,Mike Gipson,Legislator,"A quorum has been established. We will take up the first item on our agenda, which would be AB 2084 Bauer Kayehan. Oh, yeah. One quick housekeeping announcement. File item number 7, AB 2591 by Banes has been pulled from today's agenda by the author."
279175,13,5216681,Mike Gipson,Legislator,"Thank you very much. Welcome. And your witness is with you, and you may proceed when when ready. And to your witness, you have two minutes to present. Thank you very much."
279175,14,5216682,Rebecca Bauer-Kahan,Legislator,"Thank you, mister chair and members. I wanna thank the committee staff as always for your work and collaboration on this bill. I'm proud to present AB 2084, which promotes continuity of services and prevents disruptions to California's nonprofits. As we all know, California's non-profits are often the backbone of our community helping our most vulnerable protect themselves, especially in moments when perhaps they need food from a food bank or support from a religious institution or another."
279175,15,5216683,Rebecca Bauer-Kahan,Legislator,"And recently, we've experienced, federal scrutiny around nonprofit organizations regarding their taxes on SADHISH, which leads to uncertainty at the state level."
279175,16,5216684,Rebecca Bauer-Kahan,Legislator,"So what we wanna do here is make sure that the state has a moment to pause before they react to federal, changes in their nonprofit status. Under current law, when federal status is stripped, the the California franchise tax board is required to revoke state tax exempt status, and they don't have the authority to delay or review the action before nonprofits are hit with state revocation as well."
279175,17,5216685,Rebecca Bauer-Kahan,Legislator,"So this address this with a very narrow gap by giving the franchise tax board authority to use its discretion to maintain state income tax status for nonprofits that sought original exemption through a streamline 3,500 a. I'm not gonna get into the details. My witness can do so if you're curious if it occurs not related to legal eligibility for revocation."
279175,18,5216686,Rebecca Bauer-Kahan,Legislator,"So again, this is incredibly narrow. It's crafted so as to ensure that we have additional oversight at the state level and not less over sight. And it is ensure here to ensure that California retains control over our own standards to protect organizations from consequences beyond their control. And with me to testify in support is Jennifer Fearing, Sacramento advocate for the California Association of Non-profits."
279175,19,5216687,Mike Gipson,Legislator,Thank you very much. Two minutes.
